time_UTC  Vup  Vnorth  Veast  Vdown
690468030.088  0  0  0  0
690468030.144  0.00244766  -0.010119  -0.00944107  -0.00244766
690468030.200  -0.0666393  -0.0129258  -0.00970903  0.0666393
690468030.256  0.0148156  -0.0126308  0.00275938  -0.0148156
690468030.310  0.0769861  0.0408578  -0.000852115  -0.0769861
690468030.366  -0.0231862  -0.044778  0.0107439  0.0231862
690468030.422  0.0218394  0.00827754  -0.00877157  -0.0218394
690468030.478  -0.00506544  0.043784  0.0150927  0.00506544
690468030.534  -0.00388192  -0.00303893  -0.0122625  0.00388192
690468030.590  -0.069329  -0.069069  -0.0273091  0.069329
690468030.646  0.0589114  0.017418  0.0160353  -0.0589114
690468030.702  0.0065926  0.00982638  0.00897168  -0.0065926
690468030.758  -0.00345578  -0.00903191  -0.0059643  0.00345578
690468030.814  0.0117855  -0.00988851  -0.0104582  -0.0117855
690468030.870  -0.00200645  -0.00300753  0.00445326  0.00200645
690468030.926  0.034398  0.0116917  0.00587208  -0.034398
690468030.982  -0.0130429  0.0272834  -0.00569493  0.0130429
690468031.038  0.0292811  -0.0488488  -0.00344993  -0.0292811
690468031.094  0.010588  0.038691  0.00993561  -0.010588
690468031.150  -0.0096964  0.0139421  0.00269646  0.0096964
690468031.206  -0.00311735  -0.034916  -0.00799063  0.00311735
690468031.262  0.0165675  0.017322  0.00486095  -0.0165675
690468031.318  0.012579  0.0164087  0.0088318  -0.012579
690468031.374  -0.0386586  0.00908532  -0.00172912  0.0386586
690468031.430  -0.0168243  -0.00627585  0.00100601  0.0168243
690468031.486  0.00551116  -0.0327236  -0.0143126  -0.00551116
690468031.542  0.0112826  -0.00734408  0.0123687  -0.0112826
690468031.598  0.0290461  0.0316737  -0.00175653  -0.0290461
690468031.654  -0.0173182  -0.00405871  -0.00499195  0.0173182
690468031.710  0.00404652  -0.0124645  -0.0101973  -0.00404652
690468031.766  0.0309366  0.00323367  0.0164633  -0.0309366
690468031.822  -0.0109989  0.0330558  -0.00645646  0.0109989
690468031.878  -0.0123828  -0.013289  -0.00133109  0.0123828
690468031.934  -0.0177085  -0.0112224  -0.000132217  0.0177085
690468031.990  0.0407345  0.0306312  -0.000779602  -0.0407345
690468032.046  0.00120608  -0.023707  0.000688593  -0.00120608
690468032.102  -0.0150138  0.0236933  -0.00157125  0.0150138
690468032.158  -0.00898724  -0.0239839  0.00548129  0.00898724
690468032.214  0.00939116  0.00875402  0.00566287  -0.00939116
690468032.270  -0.0118604  0.0259677  -0.00575134  0.0118604
690468032.326  0.059037  -0.0363954  0.000132524  -0.059037
690468032.382  0.0132358  -0.00352504  0.00418996  -0.0132358
690468032.438  -0.0323413  0.0265581  -0.00814644  0.0323413
690468032.494  -0.0170455  0.0166866  -0.00457463  0.0170455
690468032.550  0.0293071  -0.0186725  0.00465672  -0.0293071
690468032.606  0.0268263  0.0101732  -0.00986995  -0.0268263
690468032.662  -0.0143928  -0.0143029  0.00253948  0.0143928
690468032.718  0.00282756  -0.00263889  -0.00194733  -0.00282756
690468032.774  -0.0232813  0.0382327  -0.0101252  0.0232813
690468032.830  0.0551522  0.0124713  0.0135564  -0.0551522
690468032.886  -0.00283728  -0.0570089  -0.00304066  0.00283728
690468032.942  -0.0159623  -0.0057007  -0.00326963  0.0159623
690468032.998  -0.0201735  0.0318659  -0.0172729  0.0201735
690468033.054  -0.00331169  0.0162073  0.010468  0.00331169
690468033.110  -0.00307595  0.00914752  0.00976323  0.00307595
690468033.166  0.0316265  -0.0209858  -0.012316  -0.0316265
690468033.222  -0.0291646  -0.00775894  -0.00984306  0.0291646
690468033.278  0.0354625  0.00347075  0.0197498  -0.0354625
690468033.334  -0.0338262  0.0174191  -0.00359953  0.0338262
690468033.390  0.0190387  -0.00332194  0.00233553  -0.0190387
690468033.446  -0.00516746  -0.00030956  0.00713766  0.00516746
690468033.502  -0.0180243  0.00497288  -0.0245287  0.0180243
690468033.558  0.0205354  -0.00571298  0.0182799  -0.0205354
690468033.614  0.0221783  -0.0117818  -0.00834743  -0.0221783
690468033.670  0.00466569  0.00240151  0.00631791  -0.00466569
690468033.726  -0.0630709  0.0349815  -0.00286619  0.0630709
690468033.782  0.0263519  -0.00495199  -0.0132997  -0.0263519
690468033.838  0.0204401  -0.0275402  0.0121929  -0.0204401
690468033.894  0.0150902  0.0197952  0.0121993  -0.0150902
690468033.950  -0.0255322  -0.00418319  -0.0107596  0.0255322
690468034.006  -0.000449083  0.00722629  -0.00555189  0.000449083
690468034.062  0.0198824  0.00625657  0.00827659  -0.0198824
690468034.118  0.00337128  -0.00814478  -0.00641385  -0.00337128
690468034.174  0.023198  0.0101272  0.00685434  -0.023198
690468034.230  -0.0291655  0.0078092  -0.000792396  0.0291655
690468034.286  0.0189405  -0.00342305  0.00779872  -0.0189405
690468034.342  -0.00758235  -0.00757387  -0.0123141  0.00758235
690468034.398  0.0223814  0.00575461  0.00299975  -0.0223814
690468034.454  -0.038361  0.00422714  -0.004626  0.038361
690468034.510  0.0256757  -0.0101099  0.00437617  -0.0256757
